;hsa;hsb;hsc;hsl;dis a b;dis a c;dis a l;dis b c;dis b l;dis c l
2711;ſeit ſi an and͛ ſahen;ſeit ſi an ander ſahen;Sit ſi an and͛ haten geſehen;;0,09;0,39;1,0;0,39;1,0;1,0
2712;der was pedenthalb genuͦch;Der was bæidenthalb genuc;D͛ wc vil vnd genuͦg;;0,23;0,65;1,0;0,64;1,0;1,0
2713;die weile mā trinchen dar truok;die wæile man dar truc;Nu wa man trinken dar truͦg;;0,38;0,38;1,0;0,59;1,0;1,0
2714;ob ieman da were;Ob ieman da wære;Ob ieman da waͤre;;0,12;0,18;1,0;0,12;1,0;1,0
2715;den ir paider mere;den ir bæider mære;Den vil lihte ir baid͛ maͤre;;0,17;0,57;1,0;0,57;1,0;1,0
2716;vil leihte verdruzʒe;Leichte verdruzze;Ʒe hoͤrenne verdruſſe;;0,35;0,57;1,0;0,52;1,0;1,0
2717;daʒ er die rede beguʒʒe;daz er die rede beguzze;Das der die rede beguſſe;;0,13;0,21;1,0;0,21;1,0;1,0
2718;in ſwelher maʒʒe er wolde;Inſwelher mazze er wolde;;;0,16;1,0;1,0;1,0;1,0;1,0
2719;von ſilb͛ vn̄ von golde;von ſilber vnt von golde;;;0,12;1,0;1,0;1,0;1,0;1,0
2720;chopphe vn̄ glaſe vaʒ;choͤphe mæſer glas vaz;Koͤpfe naͤpfe vn̄ glaſwaſſ;;0,41;0,58;1,0;0,65;1,0;1,0
2721;als vil vn̄ des geſindes waʒ;ſo vil vntz ditz geſinde ſaz;Die wile vnʒ dc geſinde ſaſſ;;0,39;0,43;1,0;0,43;1,0;1,0
2722;ſam ob ſi malen ſolten;Als ob ſi maln ſolten;Alſ ſi malon ſolten;;0,18;0,32;1,0;0,24;1,0;1,0
2723;ſi trunchren ſwaʒ ſi wolten;ſi trunchten ſwaz ſi wolten;Si trunken ſwc ſi wolten;;0,07;0,22;1,0;0,22;1,0;1,0
2724;Moraʒ wein vn̄ mete;Moraz wæin vnt met;Es ſtuͦnt alda ʒeſtet;;0,21;0,81;1,0;0,86;1,0;1,0
2725;daʒ ſtuͦnt alleſda ʒeſtete;daz ſtvnt allez da zeſtet;Moras win vnd met;;0,27;0,77;1,0;0,76;1,0;1,0
2726;;Vnt daz aller beſte lovt͛ tranc;Dar ʒuͦ dc edel lutertrank;;1,0;1,0;1,0;0,65;1,0;1,0
2727;;daz ie dehæin chæiſer getranc;Swen ſin muͦt des betwank;;1,0;1,0;1,0;0,69;1,0;1,0
2728;ſi hieten auch wol gewunnen;Si heten ouh wol gewunnen;Der hette da wol gewunnen;;0,15;0,37;1,0;0,32;1,0;1,0
2729;eines chvͦlen brunnen;eineſ chalten brunnen;Aines kuͤlen brunnen;;0,19;0,24;1,0;0,29;1,0;1,0
2730;rehte louter alſ ain ʒin;Recht lovter als ein cin;Reht lut͛ alſ ain ʒin;;0,29;0,21;1,0;0,33;1,0;1,0
2731;d͛ floʒ da neben hin;der vloz v͛gebne da hin;Der vlos v͛geben vor in hin;;0,52;0,59;1,0;0,33;1,0;1,0
2732;ir glas ſatʒtē ſi dar in;Wan daz ſi ſatzen dar in;Dar inne kuͦlten ſi den win;;0,6;0,52;1,0;0,67;1,0;1,0
2733;vn̄ chuͦlten ſich vn̄ den wein;ir glas vnt den guten wiͤn;Vnd ſaſton ir glaſvas dar in;;0,73;0,7;1,0;0,82;1,0;1,0
2734;d͛ ſey æ ſus douhte guͦt;Die er alſo douchte gvͦt;Die ere duhte alſo guͦt;;0,46;0,67;1,0;0,54;1,0;1,0
2735;ſi giengen als man noch tuͦt;die andern giengen als mā tvͦt;Genuͦge die giengent ſo mā tuͦt;;0,52;0,62;1,0;0,47;1,0;1,0
2736;panichen her vn̄ dar;panichen her vnt dar;Schoͮwen her vnd dar;;0,05;0,35;1,0;0,35;1,0;1,0
2737;ſi ſuͦchtē vn̄ namen war;ſi ſchovten vn̄ namn war;Si namen vliſſeclichen war;;0,24;0,69;1,0;0,69;1,0;1,0
2738;welich fleiʒ vn̄ bedæhtecheit;Welich vleiz vnt bedæchticheit;Welch vlis vnd welch ſchonhait;;0,2;0,5;1,0;0,43;1,0;1,0
2739;andiſen garten was geleit;an diſen garten was geleit;An den graſ hoͮf wc gelait;;0,04;0,54;1,0;0,5;1,0;1,0
2740;Nv was daʒ ezzen berait;Nv was daz ezzen beræit;;;0,09;1,0;1,0;1,0;1,0;1,0
2741;vn̄ dem wirte wart geſeit;vn̄ wart dem wirte geſæit;;;0,44;1,0;1,0;1,0;1,0;1,0
2742;nv ſchuͦf er ſedel da mit;nv chovft er ſedel ander ſtet;der wirt ſchuͦf ſedel an dc gras;;0,38;0,59;1,0;0,66;1,0;1,0
2743;nach franʒeiſchem ſit;nach franzæis ſit dar vͦf div bet;Da d͛ bon gelaitet was;;0,58;0,77;1,0;0,85;1,0;1,0
2744;ich ſage ev wie ſi ſaʒʒen;Ich ſage wie ſi ſazzen;;;0,24;1,0;1,0;1,0;1,0;1,0
2745;die mit einander azzen;die mit ein ander azzen;;;0,04;1,0;1,0;1,0;1,0;1,0
2746;ſi ſazzen niht bei ſeite;Sine ſazzen niht beſite;;;0,25;1,0;1,0;1,0;1,0;1,0
2747;ain mæʒliche weite;eine mazleich weite;;;0,32;1,0;1,0;1,0;1,0;1,0
2748;ſi lieʒʒen als ich beweiſet pin;Liezzen ſi als ich beweiſet bin;;;0,29;1,0;1,0;1,0;1,0;1,0
2749;da die ſchuʒʒel ʒwiſchen in;daz div ſchvzel hie zwiſchen;;;0,46;1,0;1,0;1,0;1,0;1,0
2750;heten ſtat genuͦge;In hete ſtat genuge;;;0,26;1,0;1,0;1,0;1,0;1,0
2751;ouch waren vil gefuͤge;ovch waren vil gefvge;;;0,14;1,0;1,0;1,0;1,0;1,0
2752;ir tyſche nider vn̄ brait;Tiſche nider vnt præit;Tauelan nid͛ vnd brait;;0,32;0,48;1,0;0,5;1,0;1,0
2753;mit weiʒʒer wete beſprait;mit weizer wæte geſpreit;Dar uf wrdent gelait;;0,2;0,68;1,0;0,67;1,0;1,0
2754;;;Tiſchlachen gevar nach wiʒe;;1,0;1,0;1,0;1,0;1,0;1,0
2755;;;Dar vf mit groſſem vliʒe;;1,0;1,0;1,0;1,0;1,0;1,0
2756;vn̄ geruchet ſo nahen;Geruchet alſo nahen;;;0,33;1,0;1,0;1,0;1,0;1,0
2757;ſwaʒ ſi dar oͮffe ſahen;ſwaz ſi dar vͦf ſahen;;;0,22;1,0;1,0;1,0;1,0;1,0
2758;vo eʒzen vn̄ von trinchen;Von ezzen vnt von trinchen;Vlaiſch win vnd brot;;0,15;0,8;1,0;0,77;1,0;1,0
2759;daʒ ſi niht dorften winchen;daz ſi niht dorften winchen;Swes ſi bedorfton ʒuͦ ir not;;0,04;0,68;1,0;0,68;1,0;1,0
2760;ſi raihten ez alleʒ ſelbe wol;Si ræichten allez ſelbe wol;;;0,24;1,0;1,0;1,0;1,0;1,0
2761;d͛ pecher ſtuͦnden die tiſche vol;der bæider tiſche ſtvnden vol;;;0,64;1,0;1,0;1,0;1,0;1,0
2762;ſo fleiʒʒechlich man ir phlak;Wan man ir alſo zvleize phlac;;;0,76;1,0;1,0;1,0;1,0;1,0
2763;daʒ da nihteſ gebrach;daz ir niht vil in egerden lac;;;0,6;1,0;1,0;1,0;1,0;1,0
2764;ouch waren des wirtes chnehte;Ovch waren deſ wirtes chnehte;Oͮch warent des wirtes knehte;;0,1;0,17;1,0;0,17;1,0;1,0
2765;gechlaidet nach ir rehte;wol gechlæidt͛ nach ir rechte;Geklaidet wol nach rehte;;0,28;0,42;1,0;0,59;1,0;1,0
2766;ſi chunden eʒ wol erbieten;Die chvnden inz wol erbieten;Die kunden in es wol erbietē;;0,21;0,31;1,0;0,24;1,0;1,0
2767;die vor den tiſchen chnieten;want ſi vor den tiſchen chnieten;Fuͥr die tiſche ſi knieten;;0,22;0,46;1,0;0,53;1,0;1,0
2768;vn̄ noten wol die geſte;vnt noten die geſte;Si baten eſſen die geſte;;0,22;0,42;1,0;0,42;1,0;1,0
2769;ſi ʒaigten in daz beſte;ſi zæigten in imm͛ andaz beſte;Vnd ʒaigeten iem͛ an dc beſte;;0,3;0,38;1,0;0,43;1,0;1,0
2770;herre geruͦchet ir des iht;Herre geruchet ir des icht;Si ſprachent h͛re ruͦchen ir des iht;;0,12;0,42;1,0;0,47;1,0;1,0
2771;durch got warume entrinchet eʒ niht;durch got wes entrinchet ir niht;Durch got warumbe trinkent ir niht;;0,2;0,26;1,0;0,29;1,0;1,0
2772;eʒ waren ʒwene oder drey;So ſprach ein ander dabei;Sſprach ain and͛e da bi;;0,64;0,79;1,0;0,28;1,0;1,0
2773;den wonot ʒuht vn̄ ære bey;ir waren immer drei;Ir warent iem͛ ʒewen od͛ dri;;0,77;0,79;1,0;0,5;1,0;1,0
2774;die ʒwaier geſellen phlagen;Die zwæier geſellen phlagen;Die ʒwaier geſellen phlagen;;0,11;0,04;1,0;0,07;1,0;1,0
2775;da dorfte auch niemen fragen;dane dorfte nieman vragen;Da dorfte nieman vragon;;0,32;0,32;1,0;0,16;1,0;1,0
2776;wer da ſpeiſere;Wa der ſpæiſere;Wa der ſchenke waͤre;;0,4;0,65;1,0;0,45;1,0;1,0
2777;oder ſchenche were;oder der ſchenche wære;Der koͮch vnd der ſpiſaͤre;;0,23;0,65;1,0;0,73;1,0;1,0
2778;;;Die beraitent es fliſſeclichen dar;;1,0;1,0;1,0;1,0;1,0;1,0
2779;;;Oͮch nam der wirt des ſelbe war;;1,0;1,0;1,0;1,0;1,0;1,0
2780;ouch pin ich niht ſo weiſe;Ich enbin nicht ſo weiſe;;;0,31;1,0;1,0;1,0;1,0;1,0
2781;daʒ ich die fromden ſpeiſe;daz ich iv die manige ſpeiſe;;;0,36;1,0;1,0;1,0;1,0;1,0
2782;vn̄ die manigen trahte;Vnt die fromden trachte;;;0,35;1,0;1,0;1,0;1,0;1,0
2783;ʒe denheiner ganʒen ahte;mit deheiner ganzer achte;;;0,28;1,0;1,0;1,0;1,0;1,0
2784;beſchaidenlich genennen mvge;Beſchæidenleich genennen mvge;;;0,1;1,0;1,0;1,0;1,0;1,0
2785;ich wene auch niht daʒ iʒ ieman tuge;vnt gedench ouch daz ez mir niht ētvge;;;0,64;1,0;1,0;1,0;1,0;1,0
2786;wan ich was da niht ʒehant;durch daz ich was da niht zehant;;;0,28;1,0;1,0;1,0;1,0;1,0
2787;aineſ iſt mir wol bechant;ein anderz iſt mir wol bechant;;;0,23;1,0;1,0;1,0;1,0;1,0
2788;von ʒam vn̄ von wilde;Von zame vnt von wilde;;;0,18;1,0;1,0;1,0;1,0;1,0
2789;ſwaʒ ʒe walde oder ingevilde;ſwaz in walde ode in gevilde;;;0,18;1,0;1,0;1,0;1,0;1,0
2790;in lufte oder in vnde;In luft oder in vnde;;;0,1;1,0;1,0;1,0;1,0;1,0
2791;ieman er denchen chunde;ieman erdenchen chunde;;;0,04;1,0;1,0;1,0;1,0;1,0
2792;deſ was alles da div chraft;Deſ was alles da die chraft;;;0,07;1,0;1,0;1,0;1,0;1,0
2793;ouch ʒierte div wirtſchaft;ovch zirten die wirtſchaft;;;0,19;1,0;1,0;1,0;1,0;1,0
2794;der wille mit der reicheit;Der wille mit der reicheit;;;0,04;1,0;1,0;1,0;1,0;1,0
2795;chunſt vn̄ bedæhtecheit;chvnſt vn̄ guͦt vnt bedæchtichæit;;;0,39;1,0;1,0;1,0;1,0;1,0
2796;die ʒugen ſo geliche en ein;Die zugen ſo geleich en ein;;;0,15;1,0;1,0;1,0;1,0;1,0
2797;daʒ ir aller denhein;daz ir aller dehein;;;0,1;1,0;1,0;1,0;1,0;1,0
2798;nihtes in ſtorte;Nicht des entorſte;Dc da iht beſchaͤhe;;0,44;0,79;1,0;0,79;1,0;1,0
2799;ſwaʒ ʒe mache horte;des zv ir gemache horte;Wan das man gerne ſaͤhe;;0,43;0,7;1,0;0,74;1,0;1,0
2800;;;do ſi geſſen haten;;1,0;1,0;1,0;1,0;1,0;1,0
2801;;;In aine kaͤmenaten;;1,0;1,0;1,0;1,0;1,0;1,0
2802;Nv was gebettet alſo wol;Nv wart gebæitet alſo wol;Wart in gebettot harte wol;;0,16;0,46;1,0;0,54;1,0;1,0
2803;alſam man frivnden betten ſol;ſo mā vrivnde invriund̉s hovſe ſol;Alſ man lieben geſten ſol;;0,6;0,34;1,0;0,69;1,0;1,0
2804;vn̄ giengen die geſte an ir gemach;Vn̄ giengen die geſt an ir gemach;Do ſi kamen an ir gemach;;0,06;0,5;1,0;0,48;1,0;1,0
2805;ouch chom d͛ wirt vn̄ ſach;ouch chom der wirt vnt beſach;D͛ wirt gie dar vn̄beſach;;0,17;0,62;1,0;0,55;1,0;1,0
2806;ob ſi ſaumfte lagen;Ob ſi ſamfte lægen;Ob ſi iht ſanfte laͤgen;;0,16;0,35;1,0;0,3;1,0;1,0
2807;vn̄ wie ir die knappen phlagen;vn̄ wie ir die chnappen phlægen;Vnd wie ir die knehte pflegen;;0,1;0,27;1,0;0,32;1,0;1,0
2808;die waren ir fleiʒʒek genuͦk;Die waren ir vlæizich genuc;Die warent ir vliſſig genuͦg;;0,32;0,32;1,0;0,29;1,0;1,0
2809;ſeht wa man ſlaf trinchen trvͦk;nv wan ſlaftrinchen truc;Nu wa man ſchlaftrinken truͦg;;0,35;0,35;1,0;0,38;1,0;1,0
2810;dar nach des wirtteſ gebot;Nach des wirtes gebote;Nach des wirtes gebotte;;0,31;0,35;1,0;0,04;1,0;1,0
2811;ſus ſchiet er dan v̄nbevalich ſev got;ſvs ſchied er dan vnt bevalh ſi gote;Er gie dan vnd bevalh ſi gotte;;0,27;0,51;1,0;0,33;1,0;1,0
2812;Div naht gie hin der morgen ʒvͦ;Div nacht gie hin d͛ morgen zvͦ;div naht gie hin d͛ morgen ʒuͦ;;0,13;0,13;1,0;0,13;1,0;1,0
2813;die geſte ſchuͦchten ſich vil frvͦ;die geſte ſchuhten ſi vrvͦ;;;0,24;1,0;1,0;1,0;1,0;1,0
2814;vn̄ beraiten ſich an ir vart;Vnt beræitent ſich an die vart;Vf machtont ſich die geſte do;;0,2;0,72;1,0;0,6;1,0;1,0
2815;do d͛ wirt deſ inne wart;do deſ der wirt inne wart;Vnd beraitent ſich vf ir wart;;0,36;0,66;1,0;0,62;1,0;1,0
2816;;;Er ſprach durch got wc ſol es ſin;;1,0;1,0;1,0;1,0;1,0;1,0
2817;;;Ir ſont iem͛ durch den willen min;;1,0;1,0;1,0;1,0;1,0;1,0
2818;er ſp̃ch durch got war eylet ir;Er chom vnt ſprach war ilet ir;Hivte enbiſſent ſant mir;;0,58;0,77;1,0;0,73;1,0;1,0
2819;ier ſult enbeizzen mit mir;ir ſvlt enbæizen mit mir;Dc iſt mines herʒen gir;;0,15;0,69;1,0;0,71;1,0;1,0
2820;wan daʒ eʒʒen waʒ berait;ez iſt iv ninder ſo beræit;Wan es alles berait;;0,69;0,5;1,0;0,65;1,0;1,0
2821;æ ich mich nehtē ſlafen lait;e ich mich næhten ſlafen læit;E ich mich naͤhtent ſchlaffen het gelait;;0,14;0,35;1,0;0,35;1,0;1,0
2822;wan ich gebot minē chochē;do geboͤt ich meinen chochen;Do gebot ich minen koͤchen;;0,54;0,59;1,0;0,21;1,0;1,0
2823;die hant des niht ʒeprochen;deſ enhabent ſi niht zebrochen;Das hant ſi niht gebrochen;;0,37;0,3;1,0;0,27;1,0;1,0
2824;rehte ſo der tak ovf gæ;Recht ſo der tac vͦf ge;Ich ſprach ſo der tag vf ge;;0,3;0,44;1,0;0,41;1,0;1,0
2825;ſo gebt vnſ ʒe eʒʒen oder æ;ſo gebt vns zezen oder e;So gent ivnſ ʒenbiſſenne od͛ e;;0,26;0,43;1,0;0,47;1,0;1,0
2826;als enbiʒʒen ſi da;Alſus enbizzen ſi da;Ʒe hant ſi nider ſaͤſſen;;0,25;0,79;1,0;0,83;1,0;1,0
2827;vn̄ cherten ovf die ſtraʒʒe ſa;vnt cherten vͦf ir ſtrazze ſa;Mit vroͤden ſi do aſſen;;0,23;0,7;1,0;0,69;1,0;1,0
2828;;;Wie ſi do dannan kaͤmen;;1,0;1,0;1,0;1,0;1,0;1,0
2829;;;Vnd vrloͮp genaͤmen;;1,0;1,0;1,0;1,0;1,0;1,0
2830;;;Ʒe der huſvroͮwen des wirteſ wibe;;1,0;1,0;1,0;1,0;1,0;1,0
2831;;;Des kan ich iv minem libe;;1,0;1,0;1,0;1,0;1,0;1,0
2832;;;Reht halbes niht geſagen;;1,0;1,0;1,0;1,0;1,0;1,0
2833;;;Sich huͦb ain iamer vn̄ ain klagē;;1,0;1,0;1,0;1,0;1,0;1,0
2834;;;Von wainenne alſo groſſe not;;1,0;1,0;1,0;1,0;1,0;1,0
2835;;;Alſ ob alle ir fruͥnde laͤgen tot;;1,0;1,0;1,0;1,0;1,0;1,0
2836;Der wirt gie ſelbe mit in;Der wirt fur ſelbe mit in;der wirt d͛ fuͦr mit in;;0,12;0,36;1,0;0,36;1,0;1,0
2837;einen verren wek hin;ein verren wech aldort hin;ainen verren weg dort hin;;0,42;0,28;1,0;0,27;1,0;1,0
2838;im was div ſtraʒʒe wol bechant;Im was div ſtrazze wol erchant;Im wc div ſtraʒe wol bekant;;0,17;0,2;1,0;0,27;1,0;1,0
2839;vn̄ weſſe wol wa man ſpeiſe vant;vnt weſſe wol wa man ſpeiſe vant;Er wiſſe wol wa man ſpiſe vant;;0,03;0,16;1,0;0,16;1,0;1,0
2840;vn̄ wa man ir niht funde;Vnt wa man ir niene funde;Vnd wa man ir niht fundi;;0,2;0,12;1,0;0,2;1,0;1,0
2841;des ſchvͦf er in alleʒ chunde;Daz ſchvf er als er chunde;Er ſchuͦf alſ er wol kundiv;;0,34;0,59;1,0;0,59;1,0;1,0
2842;daʒ man ſi mit in fuͦrte;Daz mans im mit fuͤrte;Dc man ir ſo vil mitte fuͦrte;;0,38;0,45;1,0;0,45;1,0;1,0
2843;durch daʒ ſi ninder ruͦrte;Vnt daz ſi nie gerurte;Das ſi nie beruͦrte;;0,46;0,5;1,0;0,36;1,0;1,0
2844;denhainer ſlahte breſte;Dehæiner ſlacht gebreſte;Enhainer ſlahte gebreſte;;0,29;0,17;1,0;0,21;1,0;1,0
2845;ſwa er iht argeſ weſte;ſwa er icht arges weſte;Swa er iht vngewarhait weſte;;0,09;0,36;1,0;0,39;1,0;1,0
2846;da chunde er ſey wol bewaren;Da chund er ſiv wol bewarn;Da von kund er ſi wol bewar;;0,18;0,39;1,0;0,26;1,0;1,0
2847;deſ mohten ſi mit fride varen;deſ mvſen ſi mit gemache varn;Des muͦſen ſi mit gemache varn;;0,34;0,4;1,0;0,13;1,0;1,0
2848;wær diſer ſchachere;Wer dirre ſchahære;Wer dirre ſchachaͤre;;0,37;0,35;1,0;0,15;1,0;1,0
2849;alſo ſelik were;ſo ſæliger wære;Alſo ſaͤht waͤre;;0,47;0,44;1,0;0,62;1,0;1,0
2850;den er haime ſuͦchte;Den er hæim ſuͤchte;Dc in got ſelbe haime ſuͦchte;;0,2;0,41;1,0;0,48;1,0;1,0
2851;vn̄ ſines gelaites ruͦchte;vnt ſiv zegælæitte geruͤchte;Vnd ſines gelaites ruͦchte;;0,43;0,08;1,0;0,46;1,0;1,0
2852;;;Er mohte in wol gebeſſert han;;1,0;1,0;1,0;1,0;1,0;1,0
2853;;;Alſ ich iv wiſſen lan;;1,0;1,0;1,0;1,0;1,0;1,0
2854;der belaitet vn̄ weiſet;Der belæitet vnt weiſet ſwaz get;Dc ir es deſter gewiſſe hat;;0,38;0,74;1,0;0,72;1,0;1,0
2855;ſwaʒ get vn̄ greiſet;;Erlaitet ſwc krieſet od͛ gat;;1,0;0,71;1,0;1,0;1,0;1,0
2856;ſwaʒ ſwimmet vnde flivget;vn̄ chrivchet ſwimmet vn̄ vlivget;Swimmet od͛ fluͥſſet;;0,48;0,52;1,0;0,7;1,0;1,0
2857;vn̄ ayne hat erʒivget;Vn̄ der eine hat erzivget;Er hat vō erʒuͥget;;0,32;0,57;1,0;0,64;1,0;1,0
2858;;vnt dar an nieman betrivget;;;1,0;1,0;1,0;1,0;1,0;1,0
2859;ſwaʒ ſiht vn̄ niht geſehen mak;Swaz ſiht vn̄ niht geſehen mac;Swc man geſihet od͛ niht geſehē mag;;0,1;0,36;1,0;0,33;1,0;1,0
2860;lieht vinſter vn̄ den tak;liecht vinſter vn̄ tac;Vinſtri lieht naht vn̄ tag;;0,24;0,69;1,0;0,58;1,0;1,0
2861;;;Gar in ſinem gebotte ſtat;;1,0;1,0;1,0;1,0;1,0;1,0
2862;;;Sin kraft es alles vō im hat;;1,0;1,0;1,0;1,0;1,0;1,0
2863;d͛ ſin alleʒ hat gewalt;Vnt ſein alles hat gewalt;vnt ſtat in ſiner gewalt;;0,2;0,62;1,0;0,52;1,0;1,0
2864;vn̄ ouch diſem wirte galt;vn̄ ouch ſeinem wirt galt;Der ſelbe ſinem wirte galt;;0,16;0,38;1,0;0,38;1,0;1,0
2865;ſwaʒ er im ʒeguͦte tet;Daz er imzegut tæte;Swc er im ie ʒe liebuͥ getet;;0,41;0,54;1,0;0,61;1,0;1,0
2866;mit einer wenigen bet;mit einer mæzlich bæte;Vnd doch mit ain͛ kurʒer bet;;0,41;0,64;1,0;0,75;1,0;1,0
2867;daʒ er anders niht enſp̃ch;Daz anders niht enſprach;Wan alſ vil dc er ſprach;;0,27;0,73;1,0;0,58;1,0;1,0
2868;do er in an dem chrevze ſach;wan da er in andem chrivce ſach;Do er in bi im hangen ſach;;0,26;0,39;1,0;0,52;1,0;1,0
2869;;;An dem kruͥʒe neben im;;1,0;1,0;1,0;1,0;1,0;1,0
2870;;;Von der warhait ich dc nim;;1,0;1,0;1,0;1,0;1,0;1,0
2871;herre nu gedenche min;Herre nu erbarme dich;Er ſp̃ch h͛re got gedenke min;;0,48;0,52;1,0;0,79;1,0;1,0
2872;ſo du chvmſt in daʒ reiche din;ſo du indein reich chomſt vb͛ mich;So du komiſt an dc din;;0,68;0,47;1,0;0,71;1,0;1,0
2873;des antwurt im ʒehant;Des antwurt im zehant;In dines vatter riche;;0,1;0,86;1,0;0,9;1,0;1,0
2874;genædichlich der hailant;gænedichleichen der hæilant;So gedenke min genaͤdecliche;;0,22;0,82;1,0;0,82;1,0;1,0
2875;er ſprach furwar ich dir ſage;Er ſprach fvr war;Des aͤntwuͥrte im der megde barn;;0,55;0,75;1,0;0,78;1,0;1,0
2876;dv wirſt hivte an diſem tage;dv biſt hivte andiſem tage;Er ſp̃ch du ſolt noch huͥte varn;;0,11;0,81;1,0;0,84;1,0;1,0
2877;mit mir in minem reiche;Mit mir īmeinem reiche;Mit mir in min riche;;0,17;0,17;1,0;0,26;1,0;1,0
2878;im geſchach vil ſelichliche;im geſchah vil ſælichleiche;Es ergienk im ſaͤlecliche;;0,11;0,56;1,0;0,59;1,0;1,0
2879;ſwie er ʒe werche ſpate gie;Do er cewerche ſpate gie;So ſpate alſ er ʒe werche gie;;0,22;0,55;1,0;0,59;1,0;1,0
2880;den erſten phennink er enphie;den erſten phenninch er gevie;Das er den erſten pfenning enphie;;0,21;0,36;1,0;0,45;1,0;1,0
2881;Patriachen vn̄ ꝑpheten;Partriarch vnt ꝑpheten;Patriarchen Biſchoͮf vn̄ propheten;;0,23;0,38;1,0;0,47;1,0;1,0
2882;die æ gedienet heten;die von vrvͦ gedinet heten;Die vor im gedienot heten;;0,35;0,32;1,0;0,31;1,0;1,0
2883;mit groʒʒen arbaiten;Mit grozzen arbæiten;Mit gͤſſen aͤrbaiten;;0,2;0,3;1,0;0,3;1,0;1,0
2884;die muͦſen lenger baiten;die mvſen noch lang͛ bæiten;Die muͦſſent lang͛ baiten;;0,41;0,24;1,0;0,37;1,0;1,0
2885;;Daz himelreich er vor in beſaz;Vnʒ got die helle ʒerbrach;;1,0;1,0;1,0;0,8;1,0;1,0
2886;;die nv wirte ſein die merchen daz;Div ſelbe ſaͤlde im do geſchach;;1,0;1,0;1,0;0,73;1,0;1,0
2887;;;Das oͮch ſuͥ den phenning namen;;1,0;1,0;1,0;1,0;1,0;1,0
2888;;;Do ſuͥ ʒe himel kamen;;1,0;1,0;1,0;1,0;1,0;1,0
2889;nv ſint ſi haim ʒelande chomē;Nv ſint ſi hæim zelande chomē;nu ſi ʒe lande warent komen;;0,1;0,6;1,0;0,67;1,0;1,0
2890;hie hat ovch Ioſeph ver nomen;hie hat ouch ioſep v͛nomen;Do hate ioſeph wol uernomen;;0,21;0,52;1,0;0,56;1,0;1,0
2891;von waren meren ſus;Div gewiſſen mære alſus;Div gewiſſen maͤre alſus;;0,52;0,54;1,0;0,08;1,0;1,0
2892;daʒ herodiſ ſun archelaus;da hern herodis ſvn archælaus;Das herodes ſun archelauſ;;0,28;0,2;1,0;0,34;1,0;1,0
2893;hete gewaltichliche;Het gewaltichleiche;hette gewaltecliche;;0,16;0,16;1,0;0,32;1,0;1,0
2894;ſines vater reiche;ſeines vater reiche;Sines vatter riche;;0,05;0,17;1,0;0,21;1,0;1,0
2895;daʒ entſaʒ der weiſe man;Daz entſaz im der weiſe man;Des entſas im der guͦte man;;0,22;0,41;1,0;0,26;1,0;1,0
2896;vn̄ enthielt ſich hie dan;vnt enthielt ſich hie dan;Er enthielt ſich ain luͥʒel hindan;;0,04;0,41;1,0;0,41;1,0;1,0
2897;in der ſtat ʒe Naʒareth;Inder ſtat zenazareth;In die ſtat ʒe naʒereth;;0,26;0,22;1,0;0,3;1,0;1,0
2898;Alſo da geſchriben ſtet;alſo da geſchriben ſtet;Alſ an den buͦchen geſchriben ſtet;;0,04;0,38;1,0;0,41;1,0;1,0
2899;er wirt von nazareth genant;Er wirt von nazaret genant;Er wirt von naʒeret genant;;0,07;0,15;1,0;0,08;1,0;1,0
2900;da von chert er in daz lant I;dar vmbe chert er indaz lant;Durch das kerte er in dc lant;;0,24;0,52;1,0;0,48;1,0;1,0
2901;oſeph ʒvͦ ſinem werche graif;Zv ſeinem werche er do graif;der herre alſ e ʒe werche graif;;0,54;0,48;1,0;0,58;1,0;1,0
2902;ſine wafen er do ſlaif;ſeiniv waffen er do ſlaif;Siniv waphen er do ſchlaif;;0,16;0,27;1,0;0,23;1,0;1,0
2903;wan er chunde ſnitʒen;wan er chvnde ſnitzen;Wan er kuͥnde ſchniʒen;;0,1;0,32;1,0;0,36;1,0;1,0
2904;mit ſo chluͦgen witʒen;mit ſo ræinen witzen;Mit ſo getanen wiʒen;;0,32;0,36;1,0;0,35;1,0;1,0
2905;erwarb er ſin geniſt;Warf er ſeinen geniſt;Es warp der h͛re ſinen geniſt;;0,33;0,41;1,0;0,38;1,0;1,0
2906;wan man an den puͦchen liſt;durch daz man andē buchen liſt;Alſ an den buͦchen geſriben iſt;;0,39;0,55;1,0;0,71;1,0;1,0
2907;als vnſ dauid fur leit;Als vns dauit fvr læit;Als ivns der h͛re dauid hat geſait;;0,23;0,53;1,0;0,53;1,0;1,0
2908;ſwer von ſiner arbeit;Swer ſeiner hande arbæit;Swe ſin͛ hende aͤrebait;;0,46;0,52;1,0;0,33;1,0;1,0
2909;eʒʒe daʒ d͛ vil ſælik ſey;Ezze daz der vil ſælic ſei;Iſſet dc der ſaͤlic ſi;;0,31;0,64;1,0;0,5;1,0;1,0
2910;hie nã der herre pilde pey;hie nam der herre bilde bei;Da nam der herre bilde bi;;0,15;0,3;1,0;0,15;1,0;1,0
2911;im waſ d͛ ſele veint lait;Im was ſele veint læit;Im wc der ſele wigent lait;;0,24;0,35;1,0;0,38;1,0;1,0
2912;ich maine die mvͤzzecheit;ich mæine die mvzichæit;Nu maine ich die muͤʒekait;;0,2;0,5;1,0;0,54;1,0;1,0
